iter	RMSE
354	165.3970093
355	165.3947038
356	165.3303802
357	165.2707602
358	165.20456
359	165.1708665
360	165.1355435
361	165.0784788
362	164.9884294
363	164.9326954
364	164.9055343
365	164.7831408
366	164.7791504
367	164.7735149
368	164.7188572
369	164.5705929
370	164.5654413
371	164.5493983
372	164.5180292
373	164.4666249
374	164.3910625
375	164.3742105
376	164.3588332
377	164.3285321
378	164.3077361
379	164.2603608
380	164.1669656
381	164.1463766
382	164.1272187
383	164.0832108
384	163.9719943
385	163.9415596
386	163.9241046
387	163.8307503
388	163.7397186
389	163.7284244
390	163.7186052
391	163.617
392	163.5233043
393	163.5074895
394	163.487399
395	163.4583821
396	163.4435816
397	163.4028296
398	163.3669537
399	163.3570081
400	163.2508207
401	163.1695915
402	163.0758373
403	162.9141074
404	162.8550193
405	162.827191
406	162.758824
407	162.6599603
408	162.5614313
409	162.5438482
410	162.5297263
411	162.502182
412	162.493527
413	162.4780348
414	162.440274
415	162.3690034
416	162.1976275
417	162.1597829
418	162.0578547
419	162.0448806
420	162.0312501
421	161.9903251
422	161.9660688
423	161.9557905
424	161.929852
425	161.8989075
426	161.831216
427	161.7012029
428	161.690932
429	161.6565539
430	161.5675263
431	161.5400808
432	161.5318942
433	161.5185724
434	161.5033237
435	161.4923182
436	161.4799541
437	161.4406048
438	161.3942325
439	161.3015882
440	161.2786264
441	161.0902737
442	161.0056673
443	160.8486162
444	160.7779573
445	160.7566491
446	160.7380014
447	160.7116207
448	160.6557966
449	160.5759926
450	160.564301
451	160.4862385
452	160.4669549
453	160.4354932
454	160.4229187
455	160.4099734
456	160.3887169
457	160.3501675
458	160.3278952
459	160.2672531
460	160.2303932
461	160.1965062
462	160.1251484
463	160.0893612
464	160.0656514
465	160.0154509
466	159.9770415
467	159.9467279
468	159.8332321
469	159.8075288
470	159.7733155
471	159.7097111
472	159.6636101
473	159.6189129
474	159.5001687
475	159.4890979
476	159.3377276
477	159.320092
478	159.2934383
479	159.2697809
480	159.1556812
481	159.0929489
482	159.0345747
483	159.0135166
484	158.9216453
485	158.8500346
486	158.7265704
487	158.6451576
488	158.6347526
489	158.6148484
490	158.5438398
491	158.4574463
492	158.3783382
493	158.2914507
494	158.2317921
495	158.1168628
496	158.1004428
497	158.0270496
498	157.9592947
499	157.891445
